Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Eritrea,ERI,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,0,,1
Estonia,EST,Europe (west),Europe,3,,,0,0,0,0,,0,0,0,1,0,0,,,,1,0,0,0,,9
Eswatini,SWZ,Africa,Africa,0,,,0,0,,,,0,,,,0,0,,,0,0,,,0,,6
Ethiopia,ETH,Africa,Africa,0,0,,0,,,,,0,,,,,0,,,,0,0,,0,,4
Falkland Islands,FLK,America (south),America,8,,,0,0,,0,,1,,,0,1,0,,,,0,0,,6,0,10
Fiji,FJI,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,0,,0,,,0,0,5
Finland,FIN,Europe (west),Europe,6,,,0,0,0,0,,0,0,0,4,0,0,,0,,1,0,0,1,0,10
France,FRA,Europe (west),Europe,7,0,0,0,0,0,0,,3,0,0,3,0,0,0,0,0,2,0,0,0,0,10
French Polynesia,PYF,Oceania,Oceania,2,,,0,0,0,0,,1,,0,0,0,0,,,,1,0,,0,0,9
Gabon,GAB,Africa,Africa,0,,,0,0,0,,,0,,,0,,0,,0,,,,,0,,1
Gambia,GMB,Africa,Africa,0,,,0,,,,,0,,,,0,0,,0,,0,,,0,,1
Georgia,GEO,Asia (west),Asia,1,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,,8
Germany,DEU,Europe (west),Europe,48,0,,0,0,0,0,,2,1,1,4,0,0,0,0,38,2,0,0,0,0,10
Ghana,GHA,Africa,Africa,0,,,0,,,0,,0,0,,0,0,0,,0,,0,0,,0,,5
Gibraltar,GIB,Europe (west),Europe,4,,,0,0,,0,,1,,1,2,0,0,,,,0,0,,,,9
Greece,GRC,Europe (west),Europe,1,,,0,0,,0,,0,,,0,,0,,0,,0,,,0,0,7
Grenada,GRD,America (Central & Carribbean),America,0,,,0,0,,,,0,,,,0,0,,,,0,,0,0,,1
Guatemala,GTM,America (Central & Carribbean),America,0,0,,0,0,,0,,0,,,0,,0,,0,,0,,0,0,,5
Guinea,GIN,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,0,,1
Guinea-Bissau,GNB,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,,,1
Guyana,GUY,America (south),America,1,,,0,,,0,,0,,0,0,,1,,,,0,0,0,0,0,7
